name,url_referal,url_image,is_apple,has_gpu,price_range,laptop_set,user,checked
Lenovo Legion Pro 5-16 i7-14700HX/32GB/1TB RTX4070 240Hz,https://www.x-kom.pl/p/1281540-laptop-15-16-lenovo-legion-pro-5-16-i7-14700hx-32gb-1tb-rtx4070-240hz.html?sm=2LPmWCVj,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/7/pr_2024_7_31_7_55_1_718_00.jpg",n,y,high,s3,data science,2024-11-30
HP Victus 16 i7-14650HX/32GB/1TB RTX4060 144Hz,https://www.x-kom.pl/p/1280719-laptop-15-16-hp-victus-16-i7-14650hx-32gb-1tb-rtx4060-144hz.html?sm=C9cF0PSd,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/9/pr_2024_9_24_7_8_46_167_04.jpg",n,y,high,s3,data science,2024-11-30
HP Omen 16 i7-14700HX/32GB/2TB RTX4070 240Hz,https://www.x-kom.pl/p/1281798-laptop-15-16-hp-omen-16-i7-14700hx-32gb-2tb-rtx4070-240hz.html?sm=G4hTPBvr,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/9/pr_2024_9_25_14_57_12_746_00.jpg",n,y,high,s3,data science,2024-11-30
Acer Extensa i5-1235U/32GB/1TB/Win11,https://www.x-kom.pl/p/1267750-notebook-laptop-156-acer-extensa-i5-1235u-32gb-1tb-win11-szary.html?sm=qzmpTWH4,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_21_17_37_17_990_00.jpg",n,n,any,s4,student,
Acer Swift X i5-11320H/16GB/512/Win11 RTX3050Ti,https://www.x-kom.pl/p/1061828-notebook-laptop-156-acer-swift-x-i5-11320h-16gb-512-win11-rtx3050ti.html?sm=geWUdzOJ,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/12/pr_2023_12_27_8_34_52_712_00.jpg",n,y,any,s4,student,
Lenovo V15 i5-1235U/16GB/512/Win11,https://www.x-kom.pl/p/1181883-notebook-laptop-156-lenovo-v15-i5-1235u-16gb-512-win11.html?sm=iaJnf1HK,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/3/pr_2024_3_8_12_13_34_963_00.jpg",n,n,any,s4,student,
Acer Extensa i5-1235U/32GB/512/Win11,https://www.x-kom.pl/p/1267749-notebook-laptop-156-acer-extensa-i5-1235u-32gb-512-win11-szary.html?sm=Zi5xdx9x,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_21_17_37_0_573_00.jpg",n,n,any,s5,teacher,
Lenovo Yoga Slim 6-14 i5-13500H/16GB/512/Win11,https://www.x-kom.pl/p/1222789-laptop-140-lenovo-yoga-slim-6-14-i5-13500h-16gb-512-win11.html?sm=P8AV0PKZ,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_16_7_5_10_716_01.jpg",n,n,any,s5,teacher,
Lenovo V15 i5-1235U/16GB/512/Win11,https://www.x-kom.pl/p/1181883-notebook-laptop-156-lenovo-v15-i5-1235u-16gb-512-win11.html?sm=iaJnf1HK,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/3/pr_2024_3_8_12_13_34_963_00.jpg",n,n,any,s5,teacher,
MSI GF63 i5-12450H/16GB/512 RTX4050,https://www.x-kom.pl/p/1165576-laptop-15-16-msi-gf63-i5-12450h-16gb-512-rtx4050-144hz.html?sm=T0svLEfl,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_25_12_18_13_23_01.jpg",n,y,any,s6,gaming,
Gigabyte G5 (2024) i7-13620H/32GB/1TB+1TB RTX4060,https://www.x-kom.pl/p/1224526-laptop-15-16-gigabyte-g5-2024-i7-13620h-32gb-1tb1tb-rtx4060-144hz.html?sm=2IX9EARC,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/2/pr_2024_2_19_8_46_50_748_01.jpg",n,y,any,s6,gaming,
ASUS TUF Gaming A15 R5-7535HS/32GB/1TB RTX4060,https://www.x-kom.pl/p/1220377-laptop-15-16-asus-tuf-gaming-a15-r5-7535hs-32gb-1tb-rtx4060-144hz.html?sm=pZzlsVN0,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/12/pr_2023_12_27_9_37_18_440_00.jpg",n,y,any,s6,gaming,
